tick,timestamp_s,frame_fresh,last_gate_passed,next_gate_index,body_forward_elevation_rad,body_vx_m_s,body_vy_m_s,body_vz_m_s,debug_world_x_m,debug_world_y_m,debug_world_z_m,debug_world_yaw_rad,command_source,mode,confidence,bearing_h_rad,bearing_v_rad,distance_m,pixel_x,pixel_y,roll_rate_rad_s,pitch_rate_rad_s,yaw_rate_rad_s,thrust_norm,rc_throttle,rc_roll,rc_pitch,rc_yaw,rc_arm
1600,1.600000,0,-1,0,0.000143,-0.004113,-0.010756,0.253758,-0.002257,-0.002449,0.209179,0.000032,reactive_fallback,detected,0.870370,-0.015624,-0.201899,8.470588,315.000,245.500,-0.004759,-0.041937,-0.029917,0.630375,1630,1498,1515,1490,1800
1617,1.617000,1,-1,0,0.000274,-0.004118,-0.011217,0.281566,-0.002328,-0.002646,0.213615,0.000029,reactive_fallback,detected,0.874084,-0.015624,-0.201899,8.470588,315.000,245.500,-0.004780,-0.041948,-0.030044,0.630375,1630,1498,1515,1489,1800
1620,1.620000,0,-1,0,0.000295,-0.004122,-0.011296,0.298401,-0.002341,-0.002682,0.214493,0.000029,reactive_fallback,detected,0.874084,-0.015624,-0.201899,8.470588,315.000,245.500,-0.004780,-0.041920,-0.030044,0.630375,1630,1498,1515,1489,1800
1640,1.640000,0,-1,0,0.000283,-0.004233,-0.011970,0.456294,-0.002426,-0.002933,0.222071,0.000031,reactive_fallback,detected,0.874084,-0.015624,-0.201899,8.470588,315.000,245.500,-0.004780,-0.041936,-0.030044,0.630375,1630,1498,1515,1489,1800
1650,1.650000,1,-1,0,0.000239,-0.004303,-0.012509,0.525209,-0.002470,-0.003070,0.227028,0.000034,reactive_fallback,detected,0.876301,-0.015624,-0.203398,8.470588,315.000,246.000,-0.004792,-0.044036,-0.030120,0.629251,1629,1498,1515,1489,1800
1660,1.660000,0,-1,0,0.000240,-0.004357,-0.013166,0.574124,-0.002515,-0.003214,0.232565,0.000034,reactive_fallback,detected,0.876301,-0.015624,-0.203398,8.470588,315.000,246.000,-0.004792,-0.044035,-0.030120,0.629251,1629,1498,1515,1489,1800
1680,1.680000,0,-1,0,0.000044,-0.004559,-0.014655,0.622347,-0.002606,-0.003527,0.244642,0.000033,reactive_fallback,detected,0.876301,-0.015624,-0.203398,8.470588,315.000,246.000,-0.004792,-0.044287,-0.030120,0.629251,1629,1498,1516,1489,1800
1683,1.683000,1,-1,0,-0.000057,-0.004621,-0.014888,0.625680,-0.002620,-0.003577,0.246516,0.000033,reactive_fallback,detected,0.870222,-0.015624,-0.204896,8.470588,315.000,246.500,-0.004759,-0.046032,-0.029911,0.628127,1628,1498,1516,1490,1800
1700,1.700000,0,-1,0,-0.000446,-0.004701,-0.016257,0.633946,-0.002697,-0.003874,0.257247,0.000032,reactive_fallback,detected,0.870222,-0.015624,-0.204896,8.470588,315.000,246.500,-0.004759,-0.046531,-0.029911,0.628127,1628,1498,1516,1490,1800
1716,1.716000,1,-1,0,-0.000318,-0.004417,-0.017583,0.632504,-0.002765,-0.004176,0.267384,0.000031,reactive_fallback,detected,0.871799,-0.015624,-0.206394,8.470588,315.000,247.000,-0.004767,-0.048375,-0.029966,0.627004,1627,1498,1517,1490,1800
1720,1.720000,0,-1,0,-0.000265,-0.004344,-0.017912,0.631505,-0.002782,-0.004256,0.269911,0.000031,reactive_fallback,detected,0.871799,-0.015624,-0.206394,8.470588,315.000,247.000,-0.004767,-0.048306,-0.029966,0.627004,1627,1498,1517,1490,1800
1740,1.740000,0,-1,0,-0.000405,-0.004263,-0.019760,0.624871,-0.002864,-0.004674,0.282474,0.000030,reactive_fallback,detected,0.871799,-0.015624,-0.206394,8.470588,315.000,247.000,-0.004767,-0.048487,-0.029966,0.627004,1627,1498,1517,1490,1800
1749,1.749000,1,-1,0,-0.000485,-0.004190,-0.020639,0.621638,-0.002900,-0.004874,0.288081,0.000032,reactive_fallback,detected,0.871849,-0.015624,-0.206394,8.470588,315.000,247.000,-0.004768,-0.048591,-0.029967,0.627004,1627,1498,1517,1490,1800
1760,1.760000,0,-1,0,-0.000532,-0.004052,-0.021647,0.617866,-0.002941,-0.005129,0.294895,0.000033,reactive_fallback,detected,0.871849,-0.015624,-0.206394,8.470588,315.000,247.000,-0.004768,-0.048652,-0.029967,0.627004,1627,1498,1517,1490,1800
1780,1.780000,0,-1,0,-0.000847,-0.003869,-0.023282,0.611743,-0.003012,-0.005618,0.307185,0.000031,reactive_fallback,detected,0.871849,-0.015624,-0.206394,8.470588,315.000,247.000,-0.004768,-0.049057,-0.029967,0.627004,1627,1498,1517,1490,1800
1782,1.782000,1,-1,0,-0.000911,-0.003858,-0.023440,0.611184,-0.003019,-0.005669,0.308408,0.000030,reactive_fallback,detected,0.870248,-0.015624,-0.209385,8.470588,315.000,248.000,-0.004759,-0.052887,-0.029912,0.624760,1625,1498,1519,1490,1800
1800,1.800000,0,-1,0,-0.001127,-0.003428,-0.024928,0.606351,-0.003073,-0.006142,0.319361,0.000031,reactive_fallback,detected,0.870248,-0.015624,-0.209385,8.470588,315.000,248.000,-0.004759,-0.053164,-0.029912,0.624760,1625,1498,1519,1490,1800
1815,1.815000,1,-1,0,-0.001323,-0.003049,-0.026206,0.602595,-0.003110,-0.006560,0.328424,0.000036,reactive_fallback,detected,0.870248,-0.015624,-0.209385,8.470588,315.000,248.000,-0.004759,-0.053415,-0.029912,0.624760,1625,1498,1519,1490,1800
1820,1.820000,0,-1,0,-0.001390,-0.002898,-0.026700,0.601466,-0.003121,-0.006705,0.331433,0.000038,reactive_fallback,detected,0.870248,-0.015624,-0.209385,8.470588,315.000,248.000,-0.004759,-0.053501,-0.029912,0.624760,1625,1498,1519,1490,1800
1840,1.840000,0,-1,0,-0.001096,-0.002023,-0.028787,0.597654,-0.003155,-0.007310,0.343419,0.000049,reactive_fallback,detected,0.870248,-0.015624,-0.209385,8.470588,315.000,248.000,-0.004759,-0.053124,-0.029912,0.624760,1625,1498,1519,1490,1800
1848,1.848000,1,-1,0,-0.001218,-0.001845,-0.029688,0.596399,-0.003165,-0.007565,0.348193,0.000058,reactive_fallback,detected,0.868138,-0.017376,-0.209851,8.447895,314.439,248.156,-0.005280,-0.053640,-0.033186,0.624411,1624,1498,1519,1488,1800
1860,1.860000,0,-1,0,-0.001679,-0.001651,-0.031135,0.594694,-0.003175,-0.007960,0.355337,0.000073,reactive_fallback,detected,0.868138,-0.017376,-0.209851,8.447895,314.439,248.156,-0.005280,-0.054229,-0.033186,0.624411,1624,1498,1519,1488,1800
1880,1.880000,0,-1,0,-0.002215,-0.000854,-0.033145,0.592129,-0.003177,-0.008651,0.367201,0.000101,reactive_fallback,detected,0.868138,-0.017376,-0.209851,8.447895,314.439,248.156,-0.005280,-0.054913,-0.033186,0.624411,1624,1498,1519,1488,1800
1881,1.881000,1,-1,0,-0.002213,-0.000792,-0.033232,0.592016,-0.003176,-0.008687,0.367792,0.000102,reactive_fallback,detected,0.877097,-0.015624,-0.210880,8.470588,315.000,248.500,-0.004796,-0.056918,-0.030148,0.623639,1624,1498,1520,1489,1800
