tick,timestamp_s,frame_fresh,last_gate_passed,next_gate_index,body_forward_elevation_rad,mode,confidence,bearing_h_rad,bearing_v_rad,distance_m,pixel_x,pixel_y,roll_rate_rad_s,pitch_rate_rad_s,yaw_rate_rad_s,thrust_norm,rc_throttle,rc_roll,rc_pitch,rc_yaw,rc_arm
1600,1.600000,0,-1,0,0.000206,detected,0.694298,-0.074664,-0.201940,6.234279,296.063,245.514,-0.018144,-0.027423,-0.114046,0.630345,1630,1494,1510,1460,1800
1617,1.617000,1,-1,0,0.000334,detected,0.698193,-0.074664,-0.201940,6.234279,296.063,245.514,-0.018246,-0.027469,-0.114686,0.630345,1630,1494,1510,1460,1800
1620,1.620000,0,-1,0,0.000351,detected,0.698193,-0.074664,-0.201940,6.234279,296.063,245.514,-0.018246,-0.027454,-0.114686,0.630345,1630,1494,1510,1460,1800
1640,1.640000,0,-1,0,0.000410,detected,0.698193,-0.074664,-0.201940,6.234279,296.063,245.514,-0.018246,-0.027405,-0.114686,0.630345,1630,1494,1510,1460,1800
1650,1.650000,1,-1,0,0.000423,detected,0.695137,-0.076264,-0.203354,6.223218,295.548,245.985,-0.018555,-0.028342,-0.116631,0.629284,1629,1494,1510,1459,1800
1660,1.660000,0,-1,0,0.000391,detected,0.695137,-0.076264,-0.203354,6.223218,295.548,245.985,-0.018555,-0.028369,-0.116631,0.629284,1629,1494,1510,1459,1800
1680,1.680000,0,-1,0,0.000074,detected,0.695137,-0.076264,-0.203354,6.223218,295.548,245.985,-0.018555,-0.028635,-0.116631,0.629284,1629,1494,1510,1459,1800
1683,1.683000,1,-1,0,-0.000030,detected,0.697003,-0.074567,-0.204934,6.234279,296.094,246.513,-0.018191,-0.030256,-0.114342,0.628099,1628,1494,1511,1460,1800
1700,1.700000,0,-1,0,-0.000354,detected,0.697003,-0.074567,-0.204934,6.234279,296.094,246.513,-0.018191,-0.030529,-0.114342,0.628099,1628,1494,1511,1460,1800
1716,1.716000,1,-1,0,-0.000182,detected,0.702046,-0.074596,-0.205614,6.263886,296.085,246.740,-0.018329,-0.031371,-0.115214,0.627589,1628,1494,1511,1460,1800
1720,1.720000,0,-1,0,-0.000109,detected,0.702046,-0.074596,-0.205614,6.263886,296.085,246.740,-0.018329,-0.031308,-0.115214,0.627589,1628,1494,1511,1460,1800
1740,1.740000,0,-1,0,-0.000113,detected,0.702046,-0.074596,-0.205614,6.263886,296.085,246.740,-0.018329,-0.031312,-0.115214,0.627589,1628,1494,1511,1460,1800
1749,1.749000,1,-1,0,-0.000128,detected,0.701345,-0.076119,-0.205668,6.216741,295.595,246.758,-0.018685,-0.030978,-0.117449,0.627548,1628,1493,1511,1459,1800
1760,1.760000,0,-1,0,-0.000208,detected,0.701345,-0.076119,-0.205668,6.216741,295.595,246.758,-0.018685,-0.031046,-0.117449,0.627548,1628,1493,1511,1459,1800
1780,1.780000,0,-1,0,-0.000271,detected,0.701345,-0.076119,-0.205668,6.216741,295.595,246.758,-0.018685,-0.031099,-0.117449,0.627548,1628,1493,1511,1459,1800
1782,1.782000,1,-1,0,-0.000293,detected,0.706924,-0.075916,-0.207246,6.214494,295.660,247.285,-0.018783,-0.032699,-0.118066,0.626365,1626,1493,1511,1459,1800
1800,1.800000,0,-1,0,-0.000348,detected,0.706924,-0.075916,-0.207246,6.214494,295.660,247.285,-0.018783,-0.032746,-0.118066,0.626365,1626,1493,1511,1459,1800
1815,1.815000,1,-1,0,-0.000458,detected,0.712997,-0.073632,-0.209485,6.211910,296.395,248.033,-0.018375,-0.035120,-0.115499,0.624685,1625,1494,1512,1460,1800
1820,1.820000,0,-1,0,-0.000505,detected,0.712997,-0.073632,-0.209485,6.211910,296.395,248.033,-0.018375,-0.035160,-0.115499,0.624685,1625,1494,1512,1460,1800
1840,1.840000,0,-1,0,-0.000431,detected,0.712997,-0.073632,-0.209485,6.211910,296.395,248.033,-0.018375,-0.035096,-0.115499,0.624685,1625,1494,1512,1460,1800
1848,1.848000,1,-1,0,-0.000548,detected,0.711883,-0.068642,-0.212373,6.260870,298.000,249.000,-0.017103,-0.038231,-0.107503,0.622519,1623,1494,1513,1462,1800
1860,1.860000,0,-1,0,-0.000824,detected,0.711883,-0.068642,-0.212373,6.260870,298.000,249.000,-0.017103,-0.038472,-0.107503,0.622519,1623,1494,1513,1462,1800
1880,1.880000,0,-1,0,-0.001236,detected,0.711883,-0.068642,-0.212373,6.260870,298.000,249.000,-0.017103,-0.038832,-0.107503,0.622519,1623,1494,1514,1462,1800
1881,1.881000,1,-1,0,-0.001215,detected,0.711883,-0.068642,-0.212373,6.260870,298.000,249.000,-0.017103,-0.038813,-0.107503,0.622519,1623,1494,1514,1462,1800
1900,1.900000,0,-1,0,-0.001287,detected,0.711883,-0.068642,-0.212373,6.260870,298.000,249.000,-0.017103,-0.038875,-0.107503,0.622519,1623,1494,1514,1462,1800
