tick,timestamp_s,frame_fresh,last_gate_passed,next_gate_index,body_forward_elevation_rad,mode,confidence,bearing_h_rad,bearing_v_rad,distance_m,pixel_x,pixel_y,roll_rate_rad_s,pitch_rate_rad_s,yaw_rate_rad_s,thrust_norm,rc_throttle,rc_roll,rc_pitch,rc_yaw,rc_arm
1600,1.600000,0,-1,0,0.000030,detected,0.863487,-0.016821,-0.201407,8.452605,314.617,245.336,-0.005084,-0.041068,-0.031955,0.630744,1631,1498,1514,1489,1800
1617,1.617000,1,-1,0,0.000213,detected,0.873836,-0.015624,-0.201899,8.470588,315.000,245.500,-0.004778,-0.042014,-0.030036,0.630375,1630,1498,1515,1489,1800
1620,1.620000,0,-1,0,0.000238,detected,0.873836,-0.015624,-0.201899,8.470588,315.000,245.500,-0.004778,-0.041982,-0.030036,0.630375,1630,1498,1515,1489,1800
1640,1.640000,0,-1,0,0.000266,detected,0.873836,-0.015624,-0.201899,8.470588,315.000,245.500,-0.004778,-0.041946,-0.030036,0.630375,1630,1498,1515,1489,1800
1650,1.650000,1,-1,0,0.000183,detected,0.867944,-0.015624,-0.204896,8.470588,315.000,246.500,-0.004746,-0.045604,-0.029833,0.628127,1628,1498,1516,1490,1800
1660,1.660000,0,-1,0,0.000060,detected,0.867944,-0.015624,-0.204896,8.470588,315.000,246.500,-0.004746,-0.045762,-0.029833,0.628127,1628,1498,1516,1490,1800
1680,1.680000,0,-1,0,-0.000221,detected,0.867944,-0.015624,-0.204896,8.470588,315.000,246.500,-0.004746,-0.046121,-0.029833,0.628127,1628,1498,1516,1490,1800
1683,1.683000,1,-1,0,-0.000309,detected,0.869826,-0.015624,-0.204896,8.470588,315.000,246.500,-0.004756,-0.046334,-0.029898,0.628127,1628,1498,1516,1490,1800
1700,1.700000,0,-1,0,-0.000614,detected,0.869826,-0.015624,-0.204896,8.470588,315.000,246.500,-0.004756,-0.046724,-0.029898,0.628127,1628,1498,1516,1490,1800
1716,1.716000,1,-1,0,-0.000616,detected,0.871399,-0.015624,-0.206394,8.470588,315.000,247.000,-0.004765,-0.048735,-0.029952,0.627004,1627,1498,1517,1490,1800
1720,1.720000,0,-1,0,-0.000618,detected,0.871399,-0.015624,-0.206394,8.470588,315.000,247.000,-0.004765,-0.048737,-0.029952,0.627004,1627,1498,1517,1490,1800
1740,1.740000,0,-1,0,-0.000830,detected,0.871399,-0.015624,-0.206394,8.470588,315.000,247.000,-0.004765,-0.049010,-0.029952,0.627004,1627,1498,1517,1490,1800
1749,1.749000,1,-1,0,-0.000838,detected,0.871399,-0.015624,-0.206394,8.470588,315.000,247.000,-0.004765,-0.049020,-0.029952,0.627004,1627,1498,1517,1490,1800
1760,1.760000,0,-1,0,-0.000930,detected,0.871399,-0.015624,-0.206394,8.470588,315.000,247.000,-0.004765,-0.049138,-0.029952,0.627004,1627,1498,1517,1490,1800
1780,1.780000,0,-1,0,-0.001330,detected,0.871399,-0.015624,-0.206394,8.470588,315.000,247.000,-0.004765,-0.049652,-0.029952,0.627004,1627,1498,1517,1490,1800
1782,1.782000,1,-1,0,-0.001383,detected,0.875050,-0.015624,-0.206394,8.470588,315.000,247.000,-0.004785,-0.049928,-0.030077,0.627004,1627,1498,1517,1489,1800
