course,role,rows,gates,phase_counts
easy,train base,390,3,"launch:24, nominal:270, off_nominal:96"
lateral_soft,train base,390,3,"launch:24, nominal:270, off_nominal:96"
low_high,train base,390,3,"launch:24, nominal:270, off_nominal:96"
four_gate_straight,train base,480,4,"launch:24, nominal:360, off_nominal:96"
circular_arc,train base,480,4,"launch:24, nominal:360, off_nominal:96"
s_curve,held-out test,570,5,"launch:24, nominal:450, off_nominal:96"
arc_rand_000,train augment,480,4,"launch:24, nominal:360, off_nominal:96"
arc_rand_001,train augment,570,5,"launch:24, nominal:450, off_nominal:96"
arc_rand_002,train augment,570,5,"launch:24, nominal:450, off_nominal:96"
arc_rand_003,train augment,570,5,"launch:24, nominal:450, off_nominal:96"
arc_rand_004,train augment,480,4,"launch:24, nominal:360, off_nominal:96"
arc_rand_005,train augment,480,4,"launch:24, nominal:360, off_nominal:96"
arc_rand_006,train augment,570,5,"launch:24, nominal:450, off_nominal:96"
arc_rand_007,train augment,570,5,"launch:24, nominal:450, off_nominal:96"
hard_s_curve_rand_000,train augment,750,7,"launch:24, nominal:630, off_nominal:96"
hard_s_curve_rand_001,train augment,660,6,"launch:24, nominal:540, off_nominal:96"
hard_s_curve_rand_002,train augment,750,7,"launch:24, nominal:630, off_nominal:96"
hard_s_curve_rand_003,train augment,750,7,"launch:24, nominal:630, off_nominal:96"
hard_s_curve_rand_004,train augment,750,7,"launch:24, nominal:630, off_nominal:96"
hard_s_curve_rand_005,train augment,660,6,"launch:24, nominal:540, off_nominal:96"
hard_s_curve_rand_006,train augment,660,6,"launch:24, nominal:540, off_nominal:96"
hard_s_curve_rand_007,train augment,750,7,"launch:24, nominal:630, off_nominal:96"
s_curve_rand_000,train augment,660,6,"launch:24, nominal:540, off_nominal:96"
s_curve_rand_001,train augment,660,6,"launch:24, nominal:540, off_nominal:96"
s_curve_rand_002,train augment,660,6,"launch:24, nominal:540, off_nominal:96"
s_curve_rand_003,train augment,660,6,"launch:24, nominal:540, off_nominal:96"
s_curve_rand_004,train augment,660,6,"launch:24, nominal:540, off_nominal:96"
s_curve_rand_005,train augment,570,5,"launch:24, nominal:450, off_nominal:96"
s_curve_rand_006,train augment,570,5,"launch:24, nominal:450, off_nominal:96"
s_curve_rand_007,train augment,570,5,"launch:24, nominal:450, off_nominal:96"
s_curve_rand_008,train augment,570,5,"launch:24, nominal:450, off_nominal:96"
s_curve_rand_009,train augment,570,5,"launch:24, nominal:450, off_nominal:96"
s_curve_rand_010,train augment,660,6,"launch:24, nominal:540, off_nominal:96"
s_curve_rand_011,train augment,570,5,"launch:24, nominal:450, off_nominal:96"
